Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,DRB%,O_FT/FGA,Arena,Attendance
5,Phoenix Suns,2007,6,7,1,2,1,1,1,1,5,26,1,26,30,1,30,3,18,1,26,14,8,3,1,24,28,29,12,14,13,21,30,30,11,6,3,27,27,21,26,3,7,2,14,21,23,2,2,3,3,2,14,2,1,13,3,30,2,1,4,29,27,12,23,20,3,US Airways Center,10
6,Chicago Bulls,2007,6,22,9,7,16,16,23,2,7,2,24,20,18,22,8,2,1,9,4,5,23,22,13,5,3,9,2,13,13,6,2,7,2,17,21,1,14,13,13,11,21,25,2,9,6,8,8,4,4,4,29,5,21,1,6,20,24,17,23,9,22,3,1,10,19,United Center,1
7,New Jersey Nets,2007,6,8,22,24,16,4,5,8,29,29,13,15,12,25,24,6,14,3,30,27,12,19,15,18,10,14,9,17,18,16,6,5,8,23,22,26,12,24,18,21,12,13,21,10,13,14,14,16,16,16,21,16,16,15,16,10,4,7,14,26,15,10,22,9,23,Continental Airlines Arena,19
8,Golden State Warriors,2007,5,27,2,1,11,3,1,13,9,19,3,21,17,26,11,16,10,4,1,3,23,25,2,2,26,28,19,30,30,24,21,23,20,29,29,13,30,30,30,28,27,18,1,13,30,12,12,13,13,13,8,13,10,19,1,24,3,3,12,23,27,24,2,29,21,Oracle Arena,14
9,Houston Rockets,2007,3,14,23,15,26,2,3,5,30,30,20,27,28,16,22,1,4,15,17,22,6,7,17,14,3,15,1,12,11,8,4,20,1,8,8,12,1,25,11,5,10,10,25,29,3,5,5,4,4,5,11,4,15,3,21,25,1,14,8,22,26,1,23,1,8,Toyota Center,21
10,Dallas Mavericks,2007,2,27,11,20,5,8,14,3,21,22,11,12,19,2,15,9,8,24,24,12,4,17,9,2,2,3,7,2,1,6,8,21,5,19,20,9,5,3,3,2,7,3,21,15,4,1,1,2,2,3,13,2,2,5,28,18,13,5,4,8,11,4,17,5,22,American Airlines Center,4
11,Toronto Raptors,2007,2,27,10,13,11,8,11,8,14,19,10,17,22,5,29,14,26,10,17,25,2,4,11,2,20,21,20,21,22,16,17,10,23,4,4,17,6,28,24,17,1,5,14,18,16,9,9,10,10,10,26,10,10,12,9,23,10,7,3,30,17,21,15,8,5,Air Canada Centre,13
12,Denver Nuggets,2007,1,22,3,4,7,16,13,28,2,7,7,4,3,19,5,5,3,5,2,8,27,9,3,5,29,29,15,23,27,9,28,29,18,3,6,4,27,13,23,27,27,24,3,4,26,10,10,9,9,9,12,9,8,11,2,6,15,12,21,7,8,15,9,21,2,Pepsi Center,17
13,Los Angeles Lakers,2007,1,1,5,7,6,4,4,16,17,25,2,11,9,18,20,12,11,6,10,9,18,20,5,30,22,26,18,20,19,18,24,26,18,25,25,23,19,23,22,20,25,20,19,7,25,12,12,12,12,12,9,12,7,24,8,12,5,4,15,20,13,17,25,18,20,STAPLES Center,7
14,Washington Wizards,2007,0,18,6,3,21,7,6,20,13,12,17,2,4,11,5,22,11,23,6,17,3,14,4,12,25,25,27,29,29,29,23,13,26,20,18,29,25,25,27,26,2,14,6,6,28,14,14,13,13,15,23,15,3,28,5,7,8,18,2,13,6,28,13,24,17,Verizon Center,12
