Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,DRB%,O_FT/FGA,Arena,Attendance
6,New York Knicks,2024,7,23,22,18,20,10,13,13,24,20,22,14,14,16,1,21,5,29,15,29,15,6,19,6,4,2,13,10,12,16,6,4,11,4,4,1,8,1,2,8,6,20,21,10,2,6,6,5,5,5,23,6,7,9,30,14,11,16,15,1,15,13,12,13,6,Madison Square Garden (IV),5
7,Oklahoma City Thunder,2024,6,10,2,15,2,8,16,1,4,10,5,12,17,3,29,12,27,11,1,1,6,17,3,15,8,18,3,22,26,12,3,8,4,23,23,19,29,13,23,18,10,18,1,11,11,2,2,2,2,2,18,2,3,4,8,17,18,3,7,27,13,4,2,29,23,Paycom Center,23
8,Cleveland Cavaliers,2024,5,10,19,24,12,7,8,15,23,26,8,24,24,22,22,11,16,8,18,21,17,5,20,15,5,11,5,10,8,21,8,16,3,11,10,21,5,12,10,6,19,15,17,15,7,11,11,11,11,13,26,15,18,6,20,20,7,12,18,21,22,6,12,6,14,Rocket Mortgage Fieldhouse,9
9,Orlando Magic,2024,3,17,26,30,15,29,29,23,12,15,12,5,1,26,15,25,25,27,4,12,24,23,24,11,2,1,17,4,3,10,9,7,18,19,20,12,1,3,1,1,23,7,3,1,3,12,12,14,14,15,28,16,22,2,25,1,25,15,25,7,2,13,1,2,24,Kia Center,12
10,Milwaukee Bucks,2024,2,10,8,19,7,5,5,11,17,26,3,5,3,19,24,3,8,17,26,15,9,21,4,15,21,27,13,12,14,9,23,27,14,21,13,29,9,22,18,13,10,3,29,8,21,8,8,11,11,11,21,12,6,19,7,4,4,4,8,25,7,9,30,5,13,Fiserv Forum,16
11,Los Angeles Clippers,2024,2,26,14,26,6,15,20,6,11,17,11,8,12,3,21,17,19,20,7,15,12,13,12,1,14,16,11,14,15,14,15,13,8,8,10,8,26,4,5,12,13,9,22,15,10,5,5,7,7,7,8,7,4,17,20,10,18,9,16,15,5,11,20,22,9,Crypto.com Arena,11
12,Philadelphia 76ers,2024,2,17,21,14,23,22,19,18,13,8,27,1,4,2,9,23,19,24,1,6,2,27,15,11,5,4,11,6,7,6,12,10,14,25,25,21,22,17,22,10,1,27,4,17,9,12,12,7,7,9,27,11,13,11,18,6,22,23,1,13,2,8,4,25,26,Wells Fargo Center,3
13,Los Angeles Lakers,2024,1,3,5,22,2,24,28,8,3,7,5,2,2,13,30,2,18,5,18,11,19,1,6,25,24,30,17,28,28,24,22,24,11,2,2,25,18,14,18,25,25,11,19,4,23,12,12,19,19,19,5,19,15,16,4,2,28,5,20,30,4,18,20,12,2,Crypto.com Arena,8
14,Miami Heat,2024,1,21,28,28,20,18,18,12,27,24,26,10,13,5,26,16,25,18,15,30,6,4,26,9,3,3,10,16,24,5,3,3,20,3,3,12,3,19,11,13,4,9,15,11,3,16,16,14,14,16,30,18,21,5,29,8,14,19,12,25,6,13,8,2,4,Kaseya Center,4
15,Phoenix Suns,2024,0,17,12,27,5,20,24,5,8,15,8,2,5,6,19,7,10,12,18,6,25,7,10,11,17,23,7,18,19,15,17,20,6,7,9,7,22,1,3,11,26,4,24,4,13,8,8,7,7,8,14,8,9,13,15,3,21,6,26,11,1,7,25,17,7,Footprint Center,24
16,New Orleans Pelicans,2024,0,26,12,23,9,18,24,4,8,11,13,13,9,21,17,10,12,12,3,21,11,11,13,1,5,10,7,24,29,2,2,2,22,8,7,15,6,9,7,17,3,19,6,18,8,8,8,6,6,6,12,5,11,7,17,7,22,11,13,15,10,11,5,6,11,Smoothie King Center,27
1,Oklahoma City Thunder,2025,16,29,3,3,6,6,10,6,6,10,7,19,26,1,20,5,11,12,1,2,1,25,4,1,1,6,1,13,23,1,1,1,1,25,26,9,23,17,20,4,1,14,1,22,3,1,1,1,1,1,20,1,3,1,5,28,16,7,1,21,24,1,2,16,26,Paycom Center,14
2,Indiana Pacers,2025,15,4,5,17,3,16,20,9,5,11,4,14,18,9,29,21,27,3,8,4,3,15,7,26,21,18,22,5,8,8,27,25,21,17,19,8,15,22,21,12,4,10,10,15,17,6,6,12,12,12,27,13,9,13,7,17,21,4,4,29,14,19,12,18,16,Gainbridge Fieldhouse,26
3,New York Knicks,2025,10,2,7,18,4,23,27,8,2,6,8,21,23,5,17,25,24,11,12,29,5,4,9,28,14,7,22,10,5,26,20,17,18,4,4,23,11,2,2,7,3,16,14,9,9,5,5,8,8,8,26,9,5,13,26,23,28,9,7,12,20,22,12,18,6,Madison Square Garden (IV),3
4,Minnesota Timberwolves,2025,9,6,19,22,16,5,5,4,26,28,18,11,16,9,14,13,15,16,17,13,18,12,13,23,6,10,7,3,7,6,13,17,8,5,6,4,12,4,8,5,18,10,13,5,5,10,10,4,4,4,13,4,8,6,24,10,6,10,20,14,8,5,10,12,7,Target Center,10
5,Denver Nuggets,2025,7,4,1,14,1,27,30,5,1,1,2,4,1,23,12,3,4,1,17,15,17,6,3,26,24,28,12,20,21,21,23,28,11,8,8,13,24,1,6,29,20,18,25,9,24,6,6,9,9,9,15,8,4,21,8,5,30,2,13,7,6,16,27,16,4,Ball Arena,4
6,Boston Celtics,2025,6,6,15,11,19,1,1,9,30,30,3,30,30,6,10,7,8,16,28,4,2,2,8,23,4,17,2,5,11,3,7,19,3,1,1,13,9,14,12,3,2,1,27,27,2,3,3,2,2,3,30,3,2,5,30,30,1,5,2,15,30,2,23,7,1,TD Garden,8
7,Cleveland Cavaliers,2025,5,18,4,7,2,2,4,2,13,23,1,14,14,17,12,5,5,9,12,26,3,11,1,9,10,22,3,13,13,13,13,24,2,13,10,16,18,8,10,8,10,8,14,11,12,2,2,2,2,2,29,2,1,8,8,17,4,1,3,13,17,3,16,15,11,Rocket Arena,7
8,Golden State Warriors,2025,5,23,21,8,25,3,2,15,27,27,23,16,13,25,5,19,5,4,3,16,12,23,17,3,5,5,11,11,8,18,6,9,12,10,13,5,7,19,15,10,8,24,5,18,8,11,11,10,10,10,9,10,15,7,17,14,2,20,9,4,17,14,4,11,14,Chase Center,16
9,Houston Rockets,2025,3,14,11,1,21,21,20,21,9,2,27,19,8,30,1,8,1,28,10,13,10,19,13,14,6,11,6,2,2,11,18,27,3,10,16,1,7,3,3,2,11,28,16,5,6,4,4,6,6,7,4,5,13,4,18,16,27,23,4,1,25,3,15,5,13,Toyota Center,20
10,Los Angeles Clippers,2025,3,9,15,26,6,25,29,7,12,13,16,8,17,7,23,10,17,22,3,20,21,12,20,18,3,3,8,9,10,5,2,3,15,9,9,7,2,4,1,9,22,5,10,26,4,6,6,4,4,6,11,6,14,3,22,9,25,10,25,19,6,8,6,1,14,Intuit Dome,28
11,Detroit Pistons,2025,2,9,10,14,13,20,22,17,7,8,16,11,11,20,10,11,11,14,17,8,21,27,11,18,9,9,8,15,12,25,4,12,6,27,28,11,6,7,6,5,24,16,7,11,14,14,14,12,12,13,21,12,15,11,8,12,22,16,20,11,13,10,9,7,27,Little Caesars Arena,9
12,Milwaukee Bucks,2025,1,18,12,25,4,8,18,1,15,21,6,8,5,28,30,2,21,20,27,18,7,9,11,9,14,23,5,19,25,6,11,15,9,6,5,19,12,28,24,14,5,2,26,11,13,11,11,11,11,11,24,11,11,12,12,3,15,3,8,30,4,6,25,5,5,Fiserv Forum,17
13,Los Angeles Lakers,2025,1,23,20,30,8,15,19,14,19,24,5,2,3,13,26,19,26,18,22,20,12,5,19,3,13,16,10,15,18,10,13,13,13,6,7,10,15,4,9,21,17,4,20,5,10,6,6,14,14,14,10,14,11,15,20,1,14,8,15,23,1,10,20,18,7,Crypto.com Arena,12
14,Orlando Magic,2025,1,23,29,29,27,30,23,30,21,17,22,4,7,18,14,28,27,30,6,1,16,26,28,3,2,1,17,1,1,21,3,7,7,22,24,3,1,14,3,1,9,8,2,1,1,15,15,17,17,17,28,17,27,2,29,2,18,29,19,17,2,9,1,2,29,Kia Center,13
15,Memphis Grizzlies,2025,0,29,2,2,8,11,13,11,2,4,9,1,1,12,3,4,2,8,6,3,28,29,2,1,19,25,4,21,25,14,11,20,5,29,29,6,18,8,10,17,20,25,7,2,24,11,11,6,6,5,17,7,6,10,1,10,20,10,22,3,8,6,14,14,25,FedEx Forum,27
16,Miami Heat,2025,0,1,23,24,17,12,16,11,23,21,20,25,27,8,26,9,21,14,15,30,8,1,24,30,12,14,12,15,17,14,10,9,15,2,2,11,9,23,19,15,7,13,19,29,7,20,20,15,15,15,25,16,21,9,28,23,12,18,12,27,22,17,17,10,2,Kaseya Center,5
